1571, 73850,26032019,02042019 012318,   2, 27074.9, 23.312,121.637,0.517456,  0.1,126.156,5.85e-01, 19.5, 0.2, 40
1572, 73851,26032019,02042019 011360,   1, 27061.8, 23.326,121.599,0.518094,  0.1,126.171,3.47e-01, 18.9, 0.1,  2
1573, 73852,26032019,02042019 011818,   4, 27068.0, 23.335,121.579,0.517659,  0.1,126.200,2.58e-01, 19.5, 0.3, 56
1574, 73853,26032019,02042019 011247,   1, 27060.0, 23.305,121.656,0.517560,  0.1,126.139,8.86e-01, 19.4, 0.1,  3
1575, 73854,26032019,02042019 011228,   1, 27059.0, 23.283,121.705,0.518195,  0.1,126.120,2.82e-01, 18.0, 0.1,  1
1576, 73855,26032019,02042019 011524,   1, 27062.1, 23.286,121.666,0.518851,  0.1,126.140,2.40e+00, 19.0, 0.1, 13
1578, 73857,25032019,02042019 011858,   1, 27068.4, 23.278,121.722,0.517555,  0.1,126.080,4.16e-01, 17.1, 0.1,  4
1579, 73858,26032019,02042019 011758,   2, 27067.4, 23.334,121.581,0.517669,  0.1,126.207,3.61e-01, 19.3, 0.1,  3
1581, 73860,26032019,02042019 012243,   3, 27073.5, 23.252,121.783,0.517296,  0.1,126.028,3.18e-01, 17.6, 3.1,717
1582, 73861,26032019,02042019 011412,   1, 27061.5, 23.285,121.700,0.518066,  0.1,126.126,2.64e-01, 17.5, 0.1,  1
1585, 73864,26032019,02042019 011539,   1, 27063.5, 23.257,121.768,0.518066,  0.1,126.027,2.19e-01, 18.8, 0.1, 17
1587, 73866,26032019,02042019 012030,   2, 27071.0, 23.317,121.623,0.517725,  0.1,126.137,3.02e-01, 16.5, 0.1,  1
1593, 73872,30032019,02042019 011938,   2, 27069.4, 23.297,121.673,0.517487,  0.1,126.155,1.82e+00, 18.9, 1.4,313
1594, 73873,31032019,02042019 010436,   1, 27047.8, 23.263,121.752,0.518903,  0.1,126.017,5.14e-01, 19.6, 0.3, 68
1595, 73874,30032019,02042019 012234,   2, 27074.0, 23.322,121.612,0.517267,  0.1,126.182,1.00e-02, 19.1, 0.1,  2
1596, 73875,30032019,02042019 011652,   1, 27065.2, 23.237,121.821,0.517955,  0.1,125.969,1.00e-02, 19.2, 0.1,  1
1597, 73876,30032019,02042019 011902,   1, 27068.4, 23.264,121.754,0.517773,  0.1,126.045,8.40e-01, 18.8, 0.5,111
1598, 73877,31032019,02042019 010522,   1, 27048.3, 23.207,121.892,0.519119,  0.1,125.907,2.48e-01, 19.9, 0.2, 35
1600, 73879,30032019,02042019 011528,   1, 27063.5, 23.279,121.716,0.518098,  0.1,126.061,1.00e-02, 19.2, 0.1,  1
1608, 73904,26032019,02042019 012111,   1, 27071.5, 23.275,121.726,0.517467,  0.1,126.066,1.80e-01, 17.5, 0.1,  1
1609, 73905,27032019,02042019 012305,   2, 27079.9, 23.279,121.715,0.518031,  0.1,126.016,3.32e-01, 17.2, 0.1,  2
1611, 73907,26032019,02042019 012139,   1, 27072.2, 23.274,121.730,0.517495,  0.1,126.069,2.90e-01, 18.6, 0.1,  2
1612, 73908,25032019,02042019 012402,   1, 27075.8, 23.292,121.686,0.517163,  0.1,126.115,3.58e-01, 16.1, 0.1,  2
1613, 73909,26032019,02042019 012215,   1, 27073.5, 23.276,121.732,0.516855,  0.1,126.044,7.30e-01, 16.3, 0.1,  5
1614, 73910,25032019,02042019 012052,   1, 27071.3, 23.274,121.736,0.517115,  0.1,126.044,6.07e-01, 17.1, 0.1,  3
1615, 73911,26032019,02042019 012423,   2, 27076.5, 23.276,121.733,0.516701,  0.1,126.050,7.32e-01, 17.0, 0.3, 77
1616, 73912,26032019,02042019 012323,   4, 27074.9, 23.260,121.774,0.516854,  0.1,126.018,1.05e+00, 18.0,17.5,  0
1617, 73913,28032019,02042019 013054,   2, 27085.7, 23.261,121.768,0.516416,  0.1,125.976,5.96e-01, 18.2, 0.1,  2
1619, 73915,26032019,02042019 012418,   2, 27076.3, 23.311,121.639,0.517276,  0.1,126.141,3.33e-01, 17.8, 0.1,  6
1620, 73916,26032019,02042019 012501,   2, 27077.0, 23.270,121.740,0.517226,  0.1,126.049,3.07e-01, 18.6, 0.1,  1
1625, 73921,27032019,02042019 012426,   1, 27076.7, 23.268,121.755,0.516594,  0.1,126.014,8.62e-01, 14.3, 0.1,  2
1628, 73924,29032019,02042019 011826,   1, 27067.9, 23.299,121.667,0.517833,  0.1,126.106,3.23e-01, 17.7, 0.2, 41
1629, 73925,30032019,02042019 012813,   2, 27081.9, 23.269,121.753,0.516543,  0.1,126.035,6.19e-01, 17.4, 0.1,  2
1631, 73927,30032019,02042019 012717,   1, 27080.6, 23.267,121.753,0.516630,  0.1,126.019,7.33e-01, 17.4, 0.1,  9
1632, 73928,30032019,02042019 012552,   2, 27078.5, 23.265,121.756,0.516764,  0.1,126.007,1.00e-02, 19.2, 0.1,  2
1633, 73929,30032019,02042019 012341,   2, 27075.2, 23.281,121.714,0.517315,  0.1,126.082,8.04e+00, 19.6, 5.9,  0
1634, 73930,30032019,02042019 013545,   2, 27092.5, 23.280,121.719,0.516206,  0.1,126.070,1.24e+00, 19.2, 0.9,209
1635, 73931,30032019,02042019 013422,   2, 27090.4, 23.254,121.783,0.516426,  0.1,125.993,1.00e-02, 19.7, 0.1,  2
1636, 73932,30032019,02042019 013358,   2, 27090.3, 23.325,121.608,0.516341,  0.1,126.183,1.00e-02, 19.7, 0.1,  2
1637, 73933,30032019,02042019 012556,   2, 27078.3, 23.226,121.856,0.517086,  0.1,125.913,1.00e-02, 19.6, 0.1,  2
1638, 73934,30032019,02042019 011950,   1, 27069.6, 23.272,121.733,0.517742,  0.1,126.057,6.26e+00, 19.0, 3.6,819
